# Thet  eta  binding
253.61 28.08 0.48
253.93 28.08 0.48
254.25 28.08 0.48
254.58 28.08 0.48
254.90 28.08 0.49
255.22 28.08 0.49
255.55 28.08 0.49
255.87 28.08 0.49
256.19 28.08 0.50
256.52 28.08 0.50
256.84 28.08 0.50
257.16 28.08 0.50
257.48 28.08 0.51
257.81 28.08 0.51
258.13 28.08 0.51
258.45 28.08 0.51
258.78 28.08 0.52
259.10 28.08 0.52
259.42 28.08 0.52
259.75 28.08 0.52
260.07 28.08 0.53
260.39 28.08 0.53
260.72 28.08 0.53
261.04 28.08 0.53
261.36 28.08 0.54
261.69 28.08 0.54
262.01 28.08 0.54
262.33 28.08 0.54
262.66 28.08 0.55
262.98 28.08 0.55
263.30 28.08 0.55
263.63 28.08 0.55
263.95 28.08 0.56
264.27 28.08 0.56
264.60 28.08 0.56
264.92 28.08 0.56
265.24 28.08 0.56
265.57 28.08 0.57
265.89 28.08 0.57
266.21 28.08 0.57
266.54 28.08 0.57
266.86 28.08 0.57
267.18 28.08 0.58
267.51 28.08 0.58
267.83 28.08 0.58
268.15 28.08 0.58
268.47 28.08 0.58
268.80 28.08 0.58
269.12 28.08 0.58
269.44 28.08 0.58
269.77 28.08 0.58
270.09 28.08 0.59
270.41 28.08 0.59
270.74 28.08 0.59
271.06 28.08 0.59
271.38 28.08 0.59
271.71 28.08 0.59
272.03 28.08 0.59
272.35 28.08 0.59
272.68 28.08 0.59
273.00 28.08 0.59
241.00 29.70 0.37
241.32 29.70 0.37
241.65 29.70 0.37
241.97 29.70 0.38
242.29 29.70 0.38
242.62 29.70 0.38
242.94 29.70 0.38
243.26 29.70 0.39
243.59 29.70 0.39
243.91 29.70 0.39
244.23 29.70 0.39
244.56 29.70 0.40
244.88 29.70 0.40
245.20 29.70 0.40
245.53 29.70 0.41
245.85 29.70 0.41
246.17 29.70 0.41
246.49 29.70 0.41
246.82 29.70 0.42
247.14 29.70 0.42
247.46 29.70 0.42
247.79 29.70 0.43
248.11 29.70 0.43
248.43 29.70 0.43
248.76 29.70 0.44
249.08 29.70 0.44
249.40 29.70 0.44
249.73 29.70 0.45
250.05 29.70 0.45
250.37 29.70 0.45
250.70 29.70 0.45
251.02 29.70 0.46
251.34 29.70 0.46
251.67 29.70 0.46
251.99 29.70 0.47
252.31 29.70 0.47
252.64 29.70 0.47
252.96 29.70 0.47
253.28 29.70 0.48
253.61 29.70 0.48
253.93 29.70 0.48
254.25 29.70 0.48
254.58 29.70 0.49
254.90 29.70 0.49
255.22 29.70 0.49
255.55 29.70 0.49
255.87 29.70 0.49
256.19 29.70 0.50
256.52 29.70 0.50
256.84 29.70 0.50
257.16 29.70 0.50
257.48 29.70 0.51
257.81 29.70 0.51
258.13 29.70 0.51
258.45 29.70 0.52
258.78 29.70 0.52
259.10 29.70 0.52
259.42 29.70 0.52
259.75 29.70 0.53
260.07 29.70 0.53
260.39 29.70 0.53
260.72 29.70 0.53
261.04 29.70 0.54
261.36 29.70 0.54
261.69 29.70 0.54
262.01 29.70 0.54
262.33 29.70 0.55
262.66 29.70 0.55
262.98 29.70 0.55
263.30 29.70 0.55
263.63 29.70 0.56
263.95 29.70 0.56
264.27 29.70 0.56
264.60 29.70 0.56
264.92 29.70 0.57
265.24 29.70 0.57
265.57 29.70 0.57
265.89 29.70 0.57
266.21 29.70 0.57
266.54 29.70 0.58
266.86 29.70 0.58
267.18 29.70 0.58
267.51 29.70 0.58
267.83 29.70 0.58
268.15 29.70 0.58
268.47 29.70 0.59
268.80 29.70 0.59
269.12 29.70 0.59
269.44 29.70 0.59
269.77 29.70 0.59
270.09 29.70 0.59
270.41 29.70 0.59
270.74 29.70 0.59
271.06 29.70 0.59
271.38 29.70 0.59
271.71 29.70 0.60
272.03 29.70 0.60
272.35 29.70 0.60
272.68 29.70 0.60
273.00 29.70 0.60
241.00 31.31 0.37
241.32 31.31 0.37
241.65 31.31 0.37
241.97 31.31 0.38
242.29 31.31 0.38
242.62 31.31 0.38
242.94 31.31 0.38
243.26 31.31 0.39
243.59 31.31 0.39
243.91 31.31 0.39
244.23 31.31 0.39
244.56 31.31 0.40
244.88 31.31 0.40
245.20 31.31 0.40
245.53 31.31 0.41
245.85 31.31 0.41
246.17 31.31 0.41
246.49 31.31 0.42
246.82 31.31 0.42
247.14 31.31 0.42
247.46 31.31 0.42
247.79 31.31 0.43
248.11 31.31 0.43
248.43 31.31 0.43
248.76 31.31 0.44
249.08 31.31 0.44
249.40 31.31 0.44
249.73 31.31 0.45
250.05 31.31 0.45
250.37 31.31 0.45
250.70 31.31 0.46
251.02 31.31 0.46
251.34 31.31 0.46
251.67 31.31 0.46
251.99 31.31 0.47
252.31 31.31 0.47
252.64 31.31 0.47
252.96 31.31 0.47
253.28 31.31 0.48
253.61 31.31 0.48
253.93 31.31 0.48
254.25 31.31 0.48
254.58 31.31 0.49
254.90 31.31 0.49
255.22 31.31 0.49
255.55 31.31 0.49
255.87 31.31 0.50
256.19 31.31 0.50
256.52 31.31 0.50
256.84 31.31 0.50
257.16 31.31 0.51
257.48 31.31 0.51
257.81 31.31 0.51
258.13 31.31 0.51
258.45 31.31 0.52
